video link,video views,uploaded date,comments,likes,dislikes
https://www.youtube.com/watch?v=SH6cOL-HRHU,"17,409 views","Dec 19, 2018","['*Special Offer 20% Off*. Complete Data Science Online Training Program. Earn a data science degree at your own pace. Access your 20% off here: http://bit.ly/2IzEbUB', 'This video is under view for the amount of useful information in it.', 'Awesome! I really like the video thanks', 'Which editor do yoi use? Is it free or paid?', 'Sir please repply my comments', 'Good', 'Sir i want to be a data scientists    i am in 10th so...\nWhat dregee and course should i follow to be a data scientists', 'A bachelor degree is enough for Prodatascientist']",742,12
https://www.youtube.com/watch?v=3gssAG0agO8,"11,190 views","Apr 9, 2020","['👉 No programming knowledge? Learn more about our courses and get ** 20% OFF** all plans! ✅https://bit.ly/2y1QU0m\n#transitionintodatascience #economicsdegree #careerchange #datascience #career #econmajor #economicsjobs', 'Oh!!! IS THIS a new series?? Transitioning to data science from economics is awesome but can you do one for transitioning from computer science please??', 'My economics background is really helping me with all that. :)', ""I'm 41 and I'm studying Python...I'm an economist,,,,,, do I have a chance."", 'Using social science advantage sounds really important tho..', 'Wow, I had no idea Econ graduates had so much going on!', ""I am planning to do bachelor's in economics with data science ....\nWill it be a good step ????"", 'Seems that i have to put some effort on the analytical part of my work. Thanks for helping me out 365!', 'Having the problem solving skills myself makes me feel really comfortable about this whole thing.', 'Haha! I definitely have that D-S and C-S graduate mindset .. :D']",362,5
https://www.youtube.com/watch?v=Wj-RWJjKsEw,795 views,Streamed live 7 hours ago,[],31,0
https://www.youtube.com/watch?v=1vn6RGKUSNc,911 views,Streamed live 13 hours ago,[],34,2
https://www.youtube.com/watch?v=QizsAE4fBpQ,"335,265 views","Oct 5, 2017","['That was fantastic.  Very informative.  Thank you!', 'Wow thanks a lot for explanation, I was very confused until you came up!', 'Thank you so much sir. You really cleared my doubt', 'I feel like I am inside of a tunnel.', 'Helpful. Thank you.', 'Thank you sir.', 'Very clear and informative. Thanks.whats the presentation tool u r using?', 'Thanks so much.', 'Excuse me sir can u pls help me out actually i liked d way u teach iam applying for MS in data science in us. My doubt is the online courses u give on AI/ML will they deviate me from data science r do u also provide courses for data science pls reply im very confused', 'Nice explanation sir...']",2.8K,140
https://www.youtube.com/watch?v=jYlaIo0LGeI,169 views,"Jul 22, 2020",[],2,0
https://www.youtube.com/watch?v=LO49IxE7QkI,"25,089 views","Oct 29, 2015",[],105,2
https://www.youtube.com/watch?v=-D_5towHpV0,969 views,"Dec 3, 2019","['Science is just a fancy word for learning about complex stuff, that’s all. \nGo outside and tell whether it is day or night. Then wait 6, 12 and 18 hours an look again. Is your answer still valid? Has it been a fact? \n Facts depend on a context. Context requires tedious work of understanding things.', 'Bro I have an urgent question.In my college I have to take specialisation from 2nd year.I am confused as my interest towards data science and cyber security is same.I have to take either one of them.\nI want to take that specialisation which will be easier, which requires less study and work.So is data science easy or cyber security??', 'Thank you very much for a nice video.\nI wonder if you can comment on my complicated situation:\nI am a 35 year of old and have a business graduation majoring in Management Information System and Finance. Now, I am planning to change my career by preparing me either for software engineering or for data science. I shall be living either in the UK or in Australia.', 'dude u doing a great job.. keep on making such videos..']",33,0
https://www.youtube.com/watch?v=-pVOoKrBtL8,"3,790 views","Mar 23, 2020","['I came here after looking your article on medium.', 'Woohoo! Excited already! Looking forward to being a part of your class.! 😃', 'Hii,\nI am getting the below error on all lines of my Jupyter notebook when I run voila command:', 'You go boy!!!! And of course logo is really nice. 🤪', 'Dude, I want to learn this!!!', 'Sir, i am really excited I always want that type of channel. You are doing great job.', 'Just read your article on freecodecamp!', 'Looking forward to learn more from your upcoming videos!!...', 'Keep uploading', 'bro keep it Up..Please upload videos regularly..I am learning a lot from you']",177,1
https://www.youtube.com/watch?v=4kdaUIR_HBg,"5,553 views","Apr 28, 2020","['very good!! \nแต่เสียงพูดค่อนข้างเบาครับ เพลงที่ 0:27 ดังกว่ามาก ตกใจเลย', 'ขอบคุณมากเลยครับ เห็นตัวเองชัดขึ้นเยอะเลย', 'ทำไม data scientist มีมานานหลายสิบปีแล้วแต่เพิ่งมาบูมเอาช่วงหลังครับอาจารย์ ผมอยากทราบจริงๆว่าทำไม', '""พวกที่อยู่นานๆ อยู่ทนๆไม่รวยสักที"" อันนี้ถูกต้องค่ะ 55555', 'โดนใจมากเลยครับอาจารย์ รอติดตามตอนต่อไปครับ', 'ชอบมากครับ รอติดตามต่อครับ', 'ผมเคยเข้าไปงานวิชาการที่นิด้าจัด เจออารจารย์บรรยาย ประทับใจมากคับ ติดตามๆ', 'ชอบน้องลา กับ Unicorn', 'เยี่ยมเลยครับอาจารย์ ผมก็จบนิด้า แต่เป็น Econ แต่ก็สนใจด้าน Big Data ด้วยเหมือนกัน', 'สุดยอด ขอยาวๆเลยครับ แบบว่าอะไรยังไง เป็นคอร์สออนไลน์เสียเงินก็ได้ครับ\nเบื่อซื้อคอร์สเข้าไปเจอ basic python กับbasic notebook แล้วก็มากดๆให้ดูแต่ไม่ได้อธิบายเลยว่าอะไรยังไง']",222,1
https://www.youtube.com/watch?v=L_xBe7MbPwk,"25,126 views","Feb 25, 2020","['Sir, you are my role model...\nYour aim "" sharing knowledge "" is incredible... #Keep going', ""You're one of the reason for me to dive in data science community. I learned from your videos and interesting , felt more to learn. Thank you Krish."", 'tutorial 34 was clarified my doubts, I am waiting for part 2 & 3 of performance metrics for Classification problem in ML. Please upload the part 2 & 3 of tutorial 34 sir.', ""Sir , I'm ur big fan and thanks for this content I have a doubt : \nHow I'll become good at code because I learnt many languages ,web development , and today I 'm learning data science as well\n Pls recommend me a method which makes me good at code"", 'Awesome explanation Sir, m waiting ur video on daily basis, sir plz upload maths behind every algorithm, which is helpful for us', 'bro this comment has just came straight from my heart even the andrew ng have not explained with that much clarity even though i know you somewhere learn but your explaination is quite well as i have done ML from 2,3 online courses but i will check whole your playlist again only for the deep understanding of math behind it', 'Great lecture, thankyou so much for everything', 'Great video. Can you also help me with the difference between Multiclass and Multilabel classification?', 'Having watched many videos related to difference b/n LinR and LogR, nobody explained in this way. I think this is what makes stand out. Just fabulous!', 'this same thing you can do with single if condition in programming language if(value>=0.5): obise else not \nthen why we should do this sirji?']",773,11
https://www.youtube.com/watch?v=i2jwZcWicSY,"80,456 views","Jul 7, 2016","[""I wanna become a data scientist !! I love math, logic, programming, taking decisions and stuff.\nI've just graduated in Administration/Management and now I want to take my carreer to a tecnological path."", 'glamorous 60 seconds', '🤓😈', 'Organisations.....nice', 'Data Analytics', '👏👏👏excellent', '""Cell phones in todays world""can have data scienific studies i guess.:/']",980,30
